#Digilent WaveForms Oscilloscope Measurements
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-08 19:38:14.006

,Name,Value
C1,Amplitude, 0.97149 V
C2,Amplitude, 2.3068 V
